2025-05-14 13:41:39Current total revenue: 143.808SEK
2025-05-14 13:52:59 Current total revenue: 143.808SEK
2025-05-14 13:52:59 Current total revenue: 287.616SEK
2025-05-15 14:54:27 Current total revenue: 143.808SEK
2025-05-15 14:54:27 Current total revenue: 287.616SEK
2025-05-15 14:54:38 Current total revenue: 143.808SEK
2025-05-15 14:54:38 Current total revenue: 287.616SEK
2025-05-15 15:09:11 Current total revenue: -21.571200000000005SEK
2025-05-15 15:14:44 Current total revenue: -21.571200000000005SEK
2025-05-15 15:18:06 Current total revenue: -21.571200000000005SEK
2025-05-15 15:20:07 Current total revenue: -8.628480000000025SEK
2025-05-15 15:23:01 Current total revenue: 128.17952SEK
2025-05-15 15:23:30 Current total revenue: 115.23679999999999SEK
2025-05-15 15:25:10 Current total revenue: 115.23679999999999SEK
2025-05-15 15:27:31 Current total revenue: 115.23679999999999SEK
2025-05-15 15:27:31 Current total revenue: 313.8688SEK
2025-05-19 23:34:24 Current total revenue: 115.23679999999999SEK
2025-05-19 23:34:24 Current total revenue: 313.8688SEK
2025-05-23 11:55:37 Current total revenue: 115.23679999999999SEK
2025-05-23 11:55:37 Current total revenue: 313.8688SEK
2025-05-23 14:37:56 Current total revenue: 115.23679999999999SEK
2025-05-23 14:37:56 Current total revenue: 313.8688SEK
2025-05-23 15:27:55 Current total revenue: 158.46SEK
2025-05-23 15:30:05 Current total revenue: 158.46SEK
2025-05-23 15:33:56 Current total revenue: 158.46SEK
2025-05-23 15:36:55 Current total revenue: 115.23679999999999SEK
2025-05-23 15:36:55 Current total revenue: 313.8688SEK
2025-05-23 15:37:04 Current total revenue: 158.46SEK
2025-05-23 15:38:45 Current total revenue: 158.46SEK
2025-05-23 15:42:43 Current total revenue: 158.46SEK
